question,optionA,optionB,optionC,correct_answer,category
"Mục đích của việc sử dụng thư viện WiFi.h trong project này là gì?","Tạo điểm phát sóng WiFi","Kết nối ESP32 vào mạng internet thông qua Router","Tăng tốc độ xử lý của CPU",B,Network
"Tại sao biến 'input_password' lại được khai báo là kiểu String thay vì int?","Để tiết kiệm bộ nhớ","Để dễ dàng cộng dồn các ký tự phím bấm và so sánh chuỗi","Vì Keypad không trả về số",B,Data-Type
"Trong hàm callback, payload được nhận dưới dạng mảng byte. Tại sao cần chuyển nó sang String?","Để có thể sử dụng các hàm so sánh như == hoặc .substring()","Để tiết kiệm bộ nhớ RAM","Để gửi ngược lại lên Server",A,Logic
"Lệnh 'client.setServer(mqtt_server, mqtt_port)' thực hiện nhiệm vụ gì?","Khởi tạo một Broker mới trên ESP32","Cung cấp địa chỉ và cổng của máy chủ MQTT để ESP32 kết nối","Đổi tên của ESP32 trên mạng",B,MQTT
"Tại sao hàm setup() có lệnh 'Wire.begin(21, 22)'?","Để khởi động giao tiếp I2C trên hai chân GPIO cụ thể của ESP32","Để cấp nguồn cho màn hình LCD","Để cấu hình chân cho bàn phím Keypad",A,Hardware-Logic
"Khi giá trị PPM >= 2000, hàm tone() được gọi. Tham số thứ 3 (2000) trong 'tone(pin, freq, duration)' là gì?","Tần số âm thanh","Âm lượng của còi","Thời gian còi kêu (miligiây)",C,Logic
"Biến 'lastDHTRead' có vai trò gì trong hàm readTemperature()?","Lưu giá trị nhiệt độ cuối cùng","Kiểm soát thời gian lấy mẫu (sampling) để không đọc cảm biến quá nhanh","Đếm số lần cảm biến bị lỗi",B,Algorithm
"Hàm 'isnan(t)' trả về giá trị TRUE khi nào?","Khi nhiệt độ t bằng 0","Khi cảm biến DHT11 trả về dữ liệu không phải là số (lỗi đọc)","Khi nhiệt độ quá cao",B,Logic
"Tại sao phải có lệnh 'client.loop()' đặt trong hàm loop()?","Để duy trì kết nối và xử lý các gói tin MQTT đến/đi theo thời gian thực","Để tạo vòng lặp cho cảm biến","Để khởi động lại kết nối WiFi",A,MQTT
"Trong hàm mq135_getPPM, biến 'ratio' (Rs/R0) có ý nghĩa gì?","Tỉ lệ giữa điện thế đầu vào và đầu ra","Tỉ lệ điện trở cảm biến so với điện trở trong không khí sạch","Tỉ lệ nồng độ oxy",B,Science-Logic
"Lệnh 'lcd.clear()' được dùng khi nào trong logic nhập mật khẩu?","Mỗi khi nhấn một phím để cập nhật màn hình mới","Chỉ khi nhập sai mật khẩu","Khi tắt máy",A,Logic
"Biến 'doorOpenTime' được gán giá trị 'millis()' khi nào?","Khi bắt đầu khởi động hệ thống","Ngay khi người dùng nhập đúng mật khẩu và cửa mở","Khi người dùng nhấn phím 'D'",B,Logic
"Hàm 'reconnect()' sử dụng vòng lặp while(!client.connected()). Điều này có nghĩa là gì?","Chương trình sẽ bị dừng lại tại đây cho đến khi kết nối được MQTT","Chương trình sẽ bỏ qua nếu không có mạng","Chương trình sẽ tự khởi động lại ESP32",A,Logic
"Trong hàm setup_wifi, tại sao dùng 'delay(300)' trong vòng lặp kiểm tra kết nối?","Để chờ phần cứng WiFi ổn định giữa các lần kiểm tra","Để người dùng kịp nhìn thấy dấu chấm trên Serial","Cả A và B đều đúng",C,Logic
"Hàm 'client.publish(topic, payload)' dùng để làm gì?","Nhận dữ liệu từ điện thoại","Gửi dữ liệu từ ESP32 lên Broker","Xóa dữ liệu trên Broker",B,MQTT
"Chức năng của phím '*' và '#' trong code hiện tại là gì?","Phím xóa và phím thoát","Chưa được định nghĩa chức năng cụ thể (chỉ lưu vào chuỗi mật khẩu)","Dùng để mở cửa khẩn cấp",B,Logic
"Điều gì xảy ra nếu bạn bỏ lệnh 'client.setCallback(callback)' trong hàm setup?","ESP32 không thể gửi dữ liệu lên","ESP32 không thể nhận lệnh điều khiển từ Broker","ESP32 không thể kết nối WiFi",B,MQTT
"Tại sao cần lệnh 'doorServo.detach()'?","Để ngắt điện hoàn toàn vào Servo, tránh hiện tượng rung giật khi ở trạng thái nghỉ","Để xóa vị trí góc đã lưu","Để Servo quay nhanh hơn",A,Hardware-Logic
"Nếu Broker MQTT bị sập, ESP32 sẽ phản ứng như thế nào dựa trên code?","Nó sẽ hoạt động offline bình thường","Nó sẽ liên tục lặp lại hàm reconnect() và bị khựng ở đó","Nó sẽ tự động tìm Broker khác",B,Logic
"Giá trị 'PPM_B = -2.769' mang số âm thể hiện điều gì?","Lỗi toán học","Điện trở Rs và nồng độ PPM có tỉ lệ nghịch (Rs giảm khi PPM tăng)","Cảm biến đang bị hỏng",B,Science-Logic
"Trong hàm callback, lệnh 'if (msg == \"led_on\")' so sánh cái gì?","So sánh nội dung tin nhắn nhận được từ MQTT với chuỗi mẫu","So sánh tên của Topic","So sánh trạng thái chân GPIO",A,Logic
"Biến 'interval = 2000' có đơn vị là gì?","Giây","Miligiây","Microgiây",B,Logic
"Tại sao trong hàm mq135_getPPM lại có đoạn 'if (v_adc <= 0) v_adc = 0.001'?","Để tăng độ nhạy","Tránh lỗi chia cho 0 khi tính Rs_kOhm","Để làm tròn số điện áp",B,Logic
"Hàm 'random(0xffff)' tạo ra số trong khoảng nào?","Từ 0 đến 65535","Từ 0 đến 100","Từ 0 đến 9999",A,Logic
"Hàm 'digitalWrite(LED_PIN, HIGH)' làm gì với đèn LED?","Tắt đèn","Bật đèn","Làm đèn nhấp nháy",B,Logic
"Tại sao cần 'lastMsg = now' bên trong khối lệnh kiểm tra millis()?","Để cập nhật mốc thời gian, bắt đầu chu kỳ 2 giây tiếp theo","Để reset đồng hồ của ESP32","Để xóa bộ nhớ đệm",A,Algorithm
"Lệnh 'input_password = \"\"' dùng để làm gì?","Xóa mật khẩu đúng trong bộ nhớ","Reset chuỗi nhập vào để người dùng nhập lại từ đầu cho lần sau","Tắt bàn phím",B,Logic
"Nếu muốn thay đổi thời gian gửi dữ liệu lên MQTT thành 5 giây, bạn sửa biến nào?","delay(5000)","interval = 5000","lastMsg = 5000",B,Logic
"Trong 'LiquidCrystal_I2C lcd(0x27, 16, 2)', số 16 và 2 có ý nghĩa gì?","Địa chỉ I2C","Số cột (16) và số dòng (2) của màn hình","Tần số quét màn hình",B,Hardware-Logic
